DATE,agg_sent_finbert,dom_sent_finbert,agg_sent_news,dom_sent_news
2022-08-16 00:00:00,"[0.34926649928092957, 0.614467203617096, 0.03626637160778046]",-1,"[0.002420632401481271, 9.799757390283048e-05, 0.9974813461303711]",0
2022-08-17 00:00:00,"[0.02261955849826336, 0.9586795568466187, 0.018700886517763138]",-1,"[0.5018462538719177, 0.0002216148131992668, 0.4979321360588074]",1
2022-08-18 00:00:00,"[0.058219000697135925, 0.8969845771789551, 0.0447964183986187]",-1,"[0.0004631269257515669, 0.0001048138365149498, 0.9994320869445801]",0
2022-08-19 00:00:00,"[0.2391614317893982, 0.5530959963798523, 0.2077426016330719]",-1,"[0.2491236925125122, 0.0006509583909064531, 0.750225305557251]",0
2022-08-21 00:00:00,"[0.19872413575649261, 0.7720522284507751, 0.0292236115783453]",-1,"[0.6654952168464661, 0.0009826967725530267, 0.33352211117744446]",1
2022-08-23 00:00:00,"[0.3314725458621979, 0.5179082751274109, 0.15061920881271362]",-1,"[0.4989492893218994, 0.00020665388728957623, 0.5008440613746643]",0
2022-08-24 00:00:00,"[0.0477585643529892, 0.6888825297355652, 0.2633589506149292]",-1,"[0.2396153211593628, 0.2928641140460968, 0.4675206243991852]",0
2022-08-25 00:00:00,"[0.3523383140563965, 0.5548961758613586, 0.09276548027992249]",-1,"[0.20449964702129364, 0.0002153861423721537, 0.7952849864959717]",0
2022-08-29 00:00:00,"[0.04125799238681793, 0.32461249828338623, 0.6341294646263123]",0,"[0.32872673869132996, 0.33731675148010254, 0.3339565098285675]",-1
2022-09-03 00:00:00,"[0.04605408012866974, 0.14969056844711304, 0.8042553663253784]",0,"[0.003026567865163088, 0.9117542505264282, 0.08521923422813416]",-1
2022-09-09 00:00:00,"[0.14348456263542175, 0.013729257509112358, 0.8427861928939819]",0,"[0.00023903202963992953, 0.5210956931114197, 0.4786652624607086]",-1
2022-10-04 00:00:00,"[0.018471432849764824, 0.7267335057258606, 0.25479498505592346]",-1,"[0.9910590052604675, 0.008000618778169155, 0.000940402562264353]",1
2022-10-10 00:00:00,"[0.03695783391594887, 0.5395259857177734, 0.42351624369621277]",-1,"[0.6094458699226379, 0.2564406096935272, 0.13411341607570648]",1
2022-10-14 00:00:00,"[0.1246042251586914, 0.3177230954170227, 0.5576726794242859]",0,"[0.5851565003395081, 0.011299075558781624, 0.40354448556900024]",1
2022-10-25 00:00:00,"[0.8612406253814697, 0.07557029277086258, 0.0631890818476677]",1,"[0.0004144391277804971, 6.537226727232337e-05, 0.9995201826095581]",0
2022-10-29 00:00:00,"[0.05608305335044861, 0.5605980157852173, 0.3833189606666565]",-1,"[0.45820364356040955, 0.5249015092849731, 0.016894737258553505]",-1
2022-11-08 00:00:00,"[0.06306935101747513, 0.5811117887496948, 0.35581886768341064]",-1,"[0.38002777099609375, 0.1974189430475235, 0.4225532114505768]",0
2022-11-10 00:00:00,"[0.05963936448097229, 0.5030601620674133, 0.437300443649292]",-1,"[0.7187002301216125, 0.00944351777434349, 0.27185630798339844]",1
2022-11-13 00:00:00,"[0.02114863134920597, 0.9547778964042664, 0.024073487147688866]",-1,"[0.9931535720825195, 0.005877320189028978, 0.0009690788574516773]",1
2022-11-15 00:00:00,"[0.5634493827819824, 0.28320130705833435, 0.1533493846654892]",1,"[0.03793567046523094, 0.0006833876832388341, 0.9613809585571289]",0
2022-11-16 00:00:00,"[0.16419856250286102, 0.48341313004493713, 0.35238829255104065]",-1,"[0.007756480481475592, 0.0001476115285186097, 0.992095947265625]",0
2022-11-20 00:00:00,"[0.023092031478881836, 0.9043514132499695, 0.07255662232637405]",-1,"[0.1099553182721138, 0.3208758533000946, 0.5691688060760498]",0
2022-11-21 00:00:00,"[0.4061332643032074, 0.011409822851419449, 0.5824568867683411]",0,"[0.00018134311540052295, 0.00149293034337461, 0.9983257055282593]",0
2022-11-25 00:00:00,"[0.16212254762649536, 0.40563511848449707, 0.43224233388900757]",0,"[0.18669651448726654, 0.20165112614631653, 0.6116523146629333]",0
2022-11-27 00:00:00,"[0.07950165867805481, 0.4363235831260681, 0.48417478799819946]",0,"[0.415693461894989, 0.006095803342759609, 0.578210711479187]",0
2022-12-15 00:00:00,"[0.05308574065566063, 0.29551929235458374, 0.6513949632644653]",0,"[0.46637970209121704, 0.28851088881492615, 0.24510936439037323]",1
2022-12-31 00:00:00,"[0.02655508741736412, 0.6614099740982056, 0.3120349049568176]",-1,"[0.3968908190727234, 0.3094216287136078, 0.2936875820159912]",1
2023-01-06 00:00:00,"[0.044785693287849426, 0.6218354105949402, 0.33337894082069397]",-1,"[0.34035253524780273, 0.3345310389995575, 0.32511642575263977]",1
2023-01-10 00:00:00,"[0.051257744431495667, 0.16072571277618408, 0.7880164980888367]",0,"[0.0012233832385390997, 0.4263359308242798, 0.5724406838417053]",0
2023-02-02 00:00:00,"[0.0522402860224247, 0.8537978529930115, 0.09396189451217651]",-1,"[0.6476026177406311, 0.00028311475762166083, 0.3521142303943634]",1
2023-02-08 00:00:00,"[0.09813445806503296, 0.5759930610656738, 0.3258725106716156]",-1,"[0.31721025705337524, 0.14495451748371124, 0.5378352403640747]",0
2023-03-04 00:00:00,"[0.073915496468544, 0.14855383336544037, 0.7775306701660156]",0,"[0.2425393909215927, 0.49904298782348633, 0.25841766595840454]",-1
2023-03-29 00:00:00,"[0.09865030646324158, 0.22313636541366577, 0.678213357925415]",0,"[0.014563143253326416, 0.6667275428771973, 0.31870928406715393]",-1
2023-03-31 00:00:00,"[0.12714290618896484, 0.48025813698768616, 0.3925989866256714]",-1,"[0.19976207613945007, 0.20152637362480164, 0.5987115502357483]",0
